fips,county_name,USPS,lat,lon,has_eab,year_detected,arrival_year,predicted_year,dist_from_origin_km,bearing_from_origin,ash_estimate,log_ash
32510,Carson City,NV,39.1531,-119.7474,0,,2002,1998.4508,3070.8562,275.8972,0.0000,0.0000
48047,Brooks,TX,27.0350,-98.2153,0,,2002,1999.6449,2171.5018,223.4370,0.0000,0.0000
48043,Brewster,TX,29.8090,-103.2525,0,,2002,1998.3769,2260.5148,238.6301,0.0000,0.0000
48427,Starr,TX,26.5309,-98.7402,0,,2002,1997.3033,2247.2735,223.7214,0.0000,0.0000
06077,San Joaquin,CA,37.9349,-121.2723,0,,2002,1989.8969,3241.1696,274.3222,0.0000,0.0000
48377,Presidio,TX,30.0059,-104.2616,0,,2002,1997.0388,2317.3730,240.7252,0.0000,0.0000
48489,Willacy,TX,26.4819,-97.5947,0,,2002,1999.1655,2188.2128,221.1467,0.0000,0.0000
06025,Imperial,CA,33.0408,-115.3554,0,,2002,1982.6542,2984.8955,260.5106,0.0000,0.0000
48131,Duval,TX,27.6811,-98.4974,0,,2002,2000.9068,2129.2814,225.1878,0.0000,0.0000
04012,La Paz,AZ,33.7276,-114.0388,0,,2002,1988.6598,2840.9498,260.6609,0.0000,0.0000
32023,Nye,NV,37.9659,-116.4590,0,,2002,1999.7690,2844.5685,271.4949,0.0000,0.0000
04011,Greenlee,AZ,33.2389,-109.2423,0,,2002,1999.1014,2482.6219,254.6822,37994.4821,10.5452
48215,Hidalgo,TX,26.3995,-98.1767,0,,2002,1997.9282,2227.7302,222.2949,0.0000,0.0000
06031,Kings,CA,36.0725,-119.8155,0,,2002,1984.7208,3199.7559,269.8522,0.0000,0.0000
06073,San Diego,CA,33.0193,-116.7698,0,,2002,1978.8116,3101.0263,261.7336,0.0000,0.0000
04007,Gila,AZ,33.7896,-110.8119,0,,2002,1998.3212,2576.8940,257.6278,116529.0046,11.6659
06087,Santa Cruz,CA,37.0122,-122.0077,0,,2002,1983.7567,3339.1721,273.0169,0.0000,0.0000
04013,Maricopa,AZ,33.3452,-112.4989,0,,2002,1994.4411,2737.1454,258.3951,1020912.8931,13.8362
48273,Kleberg,TX,27.4387,-97.6606,0,,2002,2001.6202,2103.3750,222.9036,0.0000,0.0000
48249,Jim Wells,TX,27.7335,-98.0908,0,,2002,2001.6965,2101.0089,224.3896,0.0000,0.0000
06079,San Luis Obispo,CA,35.3882,-120.4489,0,,2002,1979.8874,3283.1808,269.0064,0.0000,0.0000
04017,Navajo,AZ,35.3908,-110.3210,0,,2002,2001.7916,2453.6127,260.8110,0.0000,0.0000
35023,Hidalgo,NM,31.8986,-108.7523,0,,2002,1993.8452,2525.1525,251.1585,0.0000,0.0000
04005,Coconino,AZ,35.8297,-111.7737,0,,2002,2000.6715,2550.7873,263.1830,0.0000,0.0000
35051,Sierra,NM,33.1172,-107.1822,0,,2002,2000.5686,2327.4950,251.9119,0.0000,0.0000
06067,Sacramento,CA,38.4485,-121.3425,0,,2002,1992.1185,3227.1207,275.3524,0.0000,0.0000
06011,Colusa,CA,39.1777,-122.2376,0,,2002,1993.6089,3273.4836,277.2342,0.0000,0.0000
35029,Luna,NM,32.1845,-107.7472,0,,2002,1996.7859,2429.0559,250.5080,0.0000,0.0000
06083,Santa Barbara,CA,34.5367,-120.0384,0,,2002,1976.8917,3290.2630,267.1549,0.0000,0.0000
06023,Humboldt,CA,40.7067,-123.9262,0,,2002,1997.5109,3358.9596,280.9548,0.0000,0.0000
06103,Tehama,CA,40.1262,-122.2323,0,,2002,1998.0316,3240.5042,279.0756,0.0000,0.0000
06091,Sierra,CA,39.5769,-120.5220,0,,2002,1998.8143,3119.5480,277.1580,0.0000,0.0000
35035,Otero,NM,32.6156,-105.7513,0,,2002,2001.6381,2247.7733,248.8172,0.0000,0.0000
49053,Washington,UT,37.2625,-113.4878,0,,2002,2002.4156,2628.1681,267.8928,0.0000,0.0000
35003,Catron,NM,33.9016,-108.3916,0,,2002,2000.7033,2377.1244,255.2294,0.0000,0.0000
